year,road_crashes,road_crash_fatalities,fatal_road_crashes,private_cars,motorcycles_scooters,taxis,tsrs,goods_vehicles,buses,total_motor_vehicles,private_cars_growth,motorcycles_scooters_growth,taxis_growth,tsrs_growth,goods_vehicles_growth,buses_growth,total_motor_vehicles_growth,yearly_growth_percent,pedestrian_killed,pedestrian_injured,cyclists_killed,cyclists_injured,car_occupants_killed,car_occupants_injured,scooter_motorcycle_riders_killed,scooter_motorcycle_riders_injured,bus_passengers_killed,bus_passengers_injured,slow_moving_vehicles_killed,slow_moving_vehicles_injured,animal_driven_vehicles_killed,animal_driven_vehicles_injured,other_drivers_killed,other_drivers_injured,total_killed,total_injured
2014,8623,1671,1629,2629343,5297697,78686,91840,154654,40947,8293167,155256,335190,8351,5002,13712,1253,518764,6.67,,,,,,,,,,,,,,,,,,
2015,8085,1622,1582,2790566,5681265,79606,81633,161821,32540,8827431,161223,383568,920,-10207,7167,-8407,534264,6.44,,,,,,,,,,,,,,,,,,
2016,7375,1591,1548,2986579,6104070,91073,198137,281159,43723,9704741,196013,422805,11467,116504,119338,11183,877310,9.93,,,,,,,,,,,,,,,,,,
2017,6673,1584,1565,3152710,6707891,148434,174000,231767,38265,10482757,166131,603821,57361,-24137,-49392,-5458,778016,8.01,,,,,,,,,,,,,,,,,,
2018,6515,1690,1657,3334298,7185033,156793,188173,271017,39273,11204277,181588,477142,8359,14173,39250,1008,721520,6.88,,,,,,,,,,,,,,,,,,
2019,5610,1463,1433,3249670,7556002,109780,113240,330641,32218,11391551,-84628,370969,-47013,-74933,59624,-7055,187274,1.67,678.0,1887.0,36.0,108.0,39.0,281.0,496.0,2110.0,5.0,30.0,26.0,151.0,1.0,10.0,182.0,575.0,1463.0,5152.0
2020,4178,1196,1163,3311579,7959753,122476,114891,350876,33302,11892877,61909,403751,12696,1651,20235,1084,501326,4.4,505.0,1241.0,48.0,115.0,37.0,184.0,441.0,1613.0,5.0,18.0,21.0,110.0,2.0,9.0,132.0,372.0,1196.0,3662.0
2021,4720,1239,1206,3384736,8239550,112401,114869,368500,33294,12253350,73157,279797,-10075,-22,17624,-8,360473,3.03,504.0,1536.0,45.0,123.0,42.0,158.0,472.0,1868.0,3.0,12.0,18.0,145.0,0.0,7.0,155.0,424.0,1239.0,4273.0
2022,5652,1461,1428,2057657,5135821,85079,92149,351381,17282,7739369,-1327079,-3103729,-27322,-22720,-17119,-16012,-4513981,-36.83,629.0,1777.0,48.0,134.0,39.0,227.0,552.0,2263.0,3.0,25.0,26.0,200.0,1.0,2.0,163.0,573.0,1461.0,5201.0
2023,5834,1457,1432,2071115,5294900,83278,93654,385417,17232,7945596,13458,159079,-1801,1505,34036,-50,206227,2.66,622.0,1941.0,30.0,118.0,45.0,234.0,549.0,2356.0,0.0,18.0,24.0,203.0,3.0,7.0,184.0,593.0,1457.0,5470.0
