vehicle_type,fatal_crashes_2021,fatal_crashes_2022,fatal_crashes_2023,simple_crashes_2021,simple_crashes_2022,simple_crashes_2023,total_crashes_2021,total_crashes_2022,total_crashes_2023
unknown vehicle,555,668,660,1035,1104,1091,1590,1772,1751
private car,168,196,184,1003,1275,1314,1171,1471,1498
scooter/motorcycle,114,144,155,562,645,777,676,789,932
goods carrier,142,178,182,190,241,298,332,419,480
tempo,72,65,71,172,229,233,244,294,304
tsr,23,28,35,143,176,142,166,204,177
e-rickshaw,10,8,18,45,58,100,55,66,118
cluster bus,29,22,28,69,85,75,98,107,103
private bus,12,23,20,38,68,66,50,91,86
dtc bus,17,37,16,66,89,67,83,126,83
delivery van,13,14,10,45,68,64,58,82,74
taxi,8,10,6,51,59,57,59,69,63
tractor,17,12,15,18,35,29,35,47,44
crane,8,6,13,15,25,17,23,31,30
gramin sewa,5,1,0,16,19,21,21,20,21
tanker,3,3,8,9,8,13,12,11,11
mini bus,7,7,3,13,24,13,20,31,16
other state bus,1,5,3,3,4,8,4,9,11
school bus,0,0,3,1,1,7,1,10,10
ambulance,2,1,1,13,9,9,15,10,7
military vehicle,0,0,1,0,0,1,0,2,2
